name,slug,description,assets,facets,sku,optionGroups,optionValues,taxCategory,trackInventory,price,stockOnHand,variantAssets,variantFacets
Nutella Banana Crepe,nutella-banana-crepe,,Banana Nutella.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-nutella-crepes,MOUA1,branch,mount-lavinia,Zero,,720,30,,
,,,,,MAHA1,branch,maharagama,Zero,,720,30,,
,,,,,KOLA1,branch,kollupitiya,Zero,,720,30,,
,,,,,BAMA1,branch,bambalapitiya,Zero,,720,30,,
,,,,,OGFA1,branch,one-galle-face,Zero,,720,30,,
Nutella Strawberry Crepe,nutella-strawberry-crepe,,Strawberry.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-nutella-crepes,MOUA2,branch,mount-lavinia,Zero,,850,30,,
,,,,,MAHA2,branch,maharagama,Zero,,850,30,,
,,,,,KOLA2,branch,kollupitiya,Zero,,850,30,,
,,,,,BAMA2,branch,bambalapitiya,Zero,,850,30,,
,,,,,OGFA2,branch,one-galle-face,Zero,,850,30,,
Nutella Cornflakes Crepe,nutella-cornflakes-crepe,,Cornflakes nutella.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-nutella-crepes,MOUA3,branch,mount-lavinia,Zero,,720,30,,
,,,,,MAHA3,branch,maharagama,Zero,,720,30,,
,,,,,KOLA3,branch,kollupitiya,Zero,,720,30,,
,,,,,BAMA3,branch,bambalapitiya,Zero,,720,30,,
,,,,,OGFA3,branch,one-galle-face,Zero,,720,30,,
Nutella Marshmallows Crepe,nutella-marshmallows-crepe,,Marshmallo Nutella.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-nutella-crepes,MOUA4,branch,mount-lavinia,Zero,,700,30,,
,,,,,MAHA4,branch,maharagama,Zero,,700,30,,
,,,,,KOLA4,branch,kollupitiya,Zero,,700,30,,
,,,,,BAMA4,branch,bambalapitiya,Zero,,700,30,,
,,,,,OGFA4,branch,one-galle-face,Zero,,700,30,,
Nutella Peanut Butter Crepe,nutella-peanut-butter-crepe,,Peanut Butter Nutella.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-nutella-crepes,MOUA5,branch,mount-lavinia,Zero,,810,30,,
,,,,,MAHA5,branch,maharagama,Zero,,810,30,,
